TF,gene_type,importance
acj6,NP,38.87002595
ap,NP,52.42908435
Awh,NP,36.81153779
bru3,NP,55.59737219
CG12116,NP,88.95238311
dimm,NP,38.35482531
disco,NP,43.16925487
Drgx,NP,74.96193486
Eip93F,NP,31.74546914
Ets98B,NP,59.77396517
fus,NP,41.28366193
grh,NP,51.0499732
hbn,NP,117.6371703
HGTX,NP,67.47223761
larp,NP,35.99702064
mamo,NP,48.99621599
mino,NP,66.51586127
Mondo,NP,34.81860393
pdm3,NP,68.36300437
prd,NP,54.02321019
pros,NP,44.95704238
sd,NP,120.2692811
sim,NP,166.6126839
Six4,NP,65.28327505
sm,NP,69.38857693
Sox102F,NP,64.21102969
srp,NP,70.00389769
sug,NP,57.82343677
sv,NP,31.5414823
svp,NP,72.86917215
teq,NP,85.63935246
toe,NP,71.18926422
twi,NP,45.10805319
Antp,NPR,110.3696742
ap,NPR,130.0560165
bin,NPR,78.53988599
bol,NPR,67.76813973
bru3,NPR,93.43424315
byn,NPR,98.0639839
CG12116,NPR,126.5000585
CG42741,NPR,180.5386274
CG44422,NPR,79.9813102
CG5953,NPR,115.9288929
ct,NPR,165.8294258
dar1,NPR,148.4179929
Drgx,NPR,109.3533749
dve,NPR,79.67108887
Eip93F,NPR,148.6607106
foxo,NPR,116.3618175
fus,NPR,225.9812206
grh,NPR,103.6676288
H2.0,NPR,83.05908149
hth,NPR,119.7933515
inv,NPR,89.13504737
klu,NPR,65.73626865
luna,NPR,69.28798179
mino,NPR,96.82362905
org-1,NPR,188.1703139
scro,NPR,102.8033923
sens-2,NPR,137.62346
sima,NPR,89.88190666
Sox102F,NPR,80.99358636
SoxN,NPR,67.32352519
sqa,NPR,109.6841949
Strn-Mlck,NPR,134.4376934
sug,NPR,79.9098339
teq,NPR,81.28638036
Tet,NPR,79.97235077
tup,NPR,76.99354629
Ubx,NPR,68.49866296
Zasp52,NPR,78.41169737
