"TF","gene_type","importance"
"ab","NP",44.9691557897904
"acj6","NP",50.248303864221
"ap","NP",96.4744394629726
"Awh","NP",78.0409019224313
"bru3","NP",86.2373884786734
"Ccn","NP",42.077745220508
"CG12116","NP",85.5604094226585
"CG16779","NP",47.3890647635891
"CG42458","NP",50.4281727157288
"CG44422","NP",140.762098731168
"ct","NP",114.691195532988
"Dfd","NP",52.6954501884588
"disco","NP",52.4917912882902
"Drgx","NP",58.8057618795396
"Eip93F","NP",63.618874459754
"ey","NP",165.816184871348
"gl","NP",47.6671711263752
"hbn","NP",66.7697011740882
"Hr51","NP",48.7005678140508
"kn","NP",60.8110696760996
"lbl","NP",44.1051609599312
"Lim3","NP",45.987062873964
"lz","NP",63.0961296668203
"oc","NP",77.1273144984513
"orb","NP",193.987889160506
"pan","NP",60.8306694374046
"pdm3","NP",55.40131932148
"Poxn","NP",59.5880229695513
"pros","NP",51.7626877965667
"Rbp6","NP",62.6842453314666
"retn","NP",94.8336114300897
"scro","NP",178.228329494617
"srp","NP",75.1968289705284
"sug","NP",62.2273819872756
"sv","NP",91.1065698591918
"svp","NP",42.3932210278091
"teq","NP",76.0451646747426
"trv","NP",71.2519574449935
"Awh","NPR",123.012623670333
"bi","NPR",72.1584878258457
"bru3","NPR",83.6381007448577
"bsh","NPR",63.2785904555185
"CG10348","NPR",61.0243515133932
"CG44422","NPR",138.666109861559
"cnc","NPR",78.0123813492044
"ct","NPR",109.223948012134
"Dfd","NPR",94.2184776261995
"dve","NPR",70.1627693556053
"Eip93F","NPR",143.897924302007
"erm","NPR",144.633904321604
"foxo","NPR",65.4286187980614
"fus","NPR",76.7913489809155
"grh","NPR",68.27479432839
"grn","NPR",149.36591529586
"hbn","NPR",79.2152688659611
"klu","NPR",82.8429394761185
"Lim1","NPR",65.7214376744567
"NFAT","NPR",81.6117123122861
"orb","NPR",104.376562644705
"pan","NPR",93.4171785002758
"pdm3","NPR",77.4579998199194
"pnr","NPR",74.6583184283448
"Rbfox1","NPR",65.2790898516558
"Rbp6","NPR",108.702826780052
"scro","NPR",92.9518560007116
"shn","NPR",90.5159224010501
"srp","NPR",71.9517205416296
"ss","NPR",79.9094135777
"Strn-Mlck","NPR",101.398744470967
"sv","NPR",102.180303490889
"Zasp52","NPR",95.8008165698242
"zfh2","NPR",67.2967825230951
