"TF","gene_type","importance"
"ap","NP",73.24117163607
"bru3","NP",55.5973721856143
"CG12116","NP",88.9523831129503
"Drgx","NP",74.961934855571
"Ets98B","NP",59.773965166437
"hbn","NP",117.637170336403
"HGTX","NP",67.4722376111595
"mino","NP",80.7855142082217
"pdm3","NP",68.3630043665181
"sd","NP",120.269281119199
"sim","NP",166.612683887346
"Six4","NP",65.2832750458423
"sm","NP",69.3885769293367
"Sox102F","NP",64.2110296900015
"srp","NP",86.1434397953055
"sug","NP",70.9615282556808
"svp","NP",72.8691721498314
"teq","NP",111.383574737705
"toe","NP",106.590004604106
"Antp","NPR",110.369674230226
"ap","NPR",130.056016459048
"bin","NPR",78.5398859919572
"bol","NPR",64.6369863247897
"bru3","NPR",85.8921391131449
"byn","NPR",98.0639839031845
"Cat","NPR",61.4886935590292
"Ccn","NPR",64.3300719861644
"CG12116","NPR",126.500058529676
"CG42458","NPR",57.0196898300936
"CG42741","NPR",180.538627399233
"CG44422","NPR",73.1313270779195
"CG5953","NPR",115.928892874766
"ct","NPR",165.829425832168
"dar1","NPR",148.417992862138
"Drgx","NPR",109.353374939576
"dve","NPR",69.7130454910556
"Eip93F","NPR",148.660710605726
"en","NPR",55.9356688188641
"foxo","NPR",116.361817473225
"fus","NPR",225.981220573277
"grh","NPR",103.667628801432
"H2.0","NPR",83.0590814882902
"Hand","NPR",56.9256569275764
"hth","NPR",119.793351503087
"inv","NPR",89.1350473744773
"klu","NPR",65.7362686479731
"luna","NPR",69.2879817866672
"mino","NPR",96.8236290455186
"org-1","NPR",124.710156107194
"retn","NPR",61.6361415304911
"scro","NPR",102.803392309082
"sens-2","NPR",137.623460016844
"sima","NPR",89.881906657485
"Sox102F","NPR",69.6477030492591
"SoxN","NPR",61.0290133282439
"sqa","NPR",84.1373226211552
"ss","NPR",63.4986585537878
"Strn-Mlck","NPR",97.0079729846782
"sug","NPR",79.9098339043471
"teq","NPR",81.286380364165
"Tet","NPR",79.9723507656261
"tup","NPR",76.9935462933671
"Ubx","NPR",60.7284146951073
"vnd","NPR",64.4199436842368
"Zasp52","NPR",78.4116973735665
"zfh2","NPR",58.7501951678077
