"TF","gene_type","importance"
"acj6","NP",59.2539546636659
"ap","NP",96.4744394629726
"Awh","NP",78.0409019224313
"bru3","NP",86.2373884786734
"CG12116","NP",85.5604094226585
"CG44422","NP",140.762098731168
"ct","NP",114.691195532988
"Dfd","NP",52.6954501884588
"disco","NP",52.4917912882902
"Drgx","NP",58.8057618795396
"Eip93F","NP",63.618874459754
"ey","NP",165.816184871348
"hbn","NP",66.7697011740882
"kn","NP",72.1273708232751
"lz","NP",63.0961296668203
"oc","NP",77.1273144984513
"orb","NP",193.987889160506
"pan","NP",60.8306694374046
"pdm3","NP",55.40131932148
"Poxn","NP",59.5880229695513
"pros","NP",71.5039497987338
"Rbp6","NP",62.6842453314666
"retn","NP",94.8336114300897
"scro","NP",178.228329494617
"srp","NP",75.1968289705284
"sug","NP",62.2273819872756
"sv","NP",91.1065698591918
"teq","NP",76.0451646747426
"trv","NP",71.2519574449935
"Awh","NPR",123.012623670333
"bi","NPR",72.1584878258457
"bru3","NPR",77.7943034171967
"bsh","NPR",63.2785904555185
"CG10348","NPR",61.0243515133932
"CG12116","NPR",59.036698588469
"CG44422","NPR",96.015842924536
"cnc","NPR",78.0123813492044
"ct","NPR",109.223948012134
"dar1","NPR",60.6764216834741
"Dfd","NPR",73.3411446390699
"dve","NPR",70.1627693556053
"Eip93F","NPR",143.897924302007
"erm","NPR",144.633904321604
"foxo","NPR",65.4286187980614
"fus","NPR",76.7913489809155
"grh","NPR",68.27479432839
"grn","NPR",149.36591529586
"hbn","NPR",79.2152688659611
"klu","NPR",82.8429394761185
"knrl","NPR",58.2066604330535
"Lim1","NPR",65.7214376744567
"NFAT","NPR",70.6273700629785
"orb","NPR",104.376562644705
"pan","NPR",68.9905727380112
"pdm3","NPR",77.4579998199194
"pnr","NPR",74.6583184283448
"Rbfox1","NPR",65.2790898516558
"Rbp6","NPR",83.734254225202
"scro","NPR",92.9518560007116
"shep","NPR",60.962122648062
"shn","NPR",90.5159224010501
"srp","NPR",71.9517205416296
"ss","NPR",79.9094135777
"Strn-Mlck","NPR",101.398744470967
"sv","NPR",102.180303490889
"Zasp52","NPR",95.8008165698242
"zfh2","NPR",63.2534068879324
